1/19/2019,black corduroys,r&g t shirt,maroon sweater,black boots,
1/20/2019,black tights,purple lace dress,black boots,,
1/21/2019,light skinny jeans,flower crop top,alpaca sweater,black boots,
1/22/2019,black corduroys,grey striped sweater,blue flowered tank top,black boots,
1/23/2019,black tights,black flowered dress,black boots,,
1/24/2019,dark skinny jeans,grey cable knit sweater,black lace tank top,black boots,
1/25/2019,dark skinny jeans,red lace shirt,black lace tank top,black boots,
1/25/2019,black tights,red lace up dress,black boots,,
1/26/2019,cream dress,black tights,pink bralette,black boots,flower crown
1/27/2019,black ripped jeans,grey flowered sweater,black boots,,
1/28/2019,blue plaid skirt,black tights,black lace shirt,black boots,black bralette
1/29/2019,tribal tank top,dark skinny jeans,grey cardigan,black boots,
1/30/2019,black triangle dress,black tights,black boots,,
1/31/2019,leggings,blue plaid flannel,grey striped sweater,black boots,
2/1/2019,light skinny jeans,soft blue button down,maroon sweater,black boots,
2/1/2019,black ripped jeans,grey crop top,grey striped sweater,black boots,
2/2/2019,black ripped jeans,tribal crop top,black boots,,
2/3/2019,navy blue romper,grey cable knit sweater,black boots,,
2/4/2019,black corduroys,grey cable knit sweater,black lace tank top,black boots,
2/5/2019,embroidered dress,black boots,,,
2/6/2019,striped blue sweater,black circle skirt,new black boots,,
2/7/2019,polka dot button up,black button skirt,new black boots,,
2/8/2019,light skinny jeans,r&g t shirt,maroon sweater,black boots,
2/8/2019,black tights,black circle skirt,red tank top,new black boots,red plaid flannel
2/9/2019,adidas joggers,red plaid flannel,sneakers,,
2/9/2019,cream dress,black tights,new black boots,black bra,
2/10/2019,black ripped jeans,long sleeve lace crop top,black boots,pink bralette,
2/11/2019,black jeans,soft blue button down,new black boots,,
2/12/2019,dark skinny jeans,red tank top,grey striped sweater,black boots,
2/13/2019,black tights,purple triangle dress,grey cardigan,new black boots,
2/14/2019,black corduroys,maroon sweater,black lace tank top,black vans,
2/18/2019,leggings,alpaca sweater,pink tee,black boots,
2/19/2019,black jeans,grey cable knit sweater,thirsty thursday tank,black vans,
2/20/2019,light skinny jeans,pink tee,new black boots,,
2/21/2019,polka dot button up,black tights,maroon skirt,new black boots,
2/22/2019,light flared jeans,silver tank top,black vans,,
2/24/2019,sparkly grey dress,flower crown,new black boots,,
2/25/2019,dark skinny jeans,rosie the riveter tank top,striped blue sweater,new black boots,
2/26/2019,dark skinny jeans,grey cable knit sweater,new black boots,,
2/27/2019,black tights,black circle skirt,new black boots,red plaid flannel,
2/28/2019,black tights,see through dress,new black boots,,
3/1/2019,black tights,navy circle skirt,pink tee,new black boots,
3/2/2019,black tights,white dress,new black boots,,
3/3/2019,hawaiian shirt,adidas joggers,gold vans,,
3/4/2019,soft blue button down,blue plaid skirt,new black boots,black tights,
3/5/2019,black jeans,rosie the riveter tank top,grey striped sweater,new black boots,
3/6/2019,dark skinny jeans,blue plaid flannel,alpaca sweater,new black boots,
3/7/2019,dark skinny jeans,grey cable knit sweater,black crop top,new black boots,
3/8/2019,red button dress,black tights,new black boots,,
3/9/2019,black romper,black bra,new black boots,,
3/10/2019,dark skinny jeans,hawaiian shirt,gold vans,,
3/11/2019,black tights,red tee,navy circle skirt,new black boots,
3/12/2019,black tights,black tee,green velvet skirt,new black boots,
3/13/2019,black jeans,red plaid flannel,gold vans,,
3/14/2019,black tights,grey plaid skirt,black lace shirt,new black boots,
3/15/2019,embroidered dress,new black boots,,,
3/16/2019,light skinny jeans,tribal crop top,gold vans,,
3/16/2019,black denim skirt,black tights,grey crop top,new black boots,
3/17/2019,black tights,black high waisted shorts,black long sleeve crop top,new black boots,
3/18/2019,black tights,black button skirt,red tee,new black boots,
3/19/2019,black tights,black flowered dress,new black boots,,
3/20/2019,black tights,purple triangle dress,black vans,,
3/21/2019,dark skinny jeans,grey striped sweater,gold vans,,
3/22/2019,see through dress,new black boots,,,
3/23/2019,light skinny jeans,black long sleeve crop top,gold vans,,
